ms_played,frequency,release_date,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,popularity
117696,35.0,1982,0.325,0.822,0.335,1.0,0.000957,0.201,-12.71,0.0,0.127,0.9,73.77,4.0,44.0
258004,65.0,2020,0.00173,0.659,0.667,11.0,2.85e-05,0.1,-4.668,0.0,0.0339,0.468,115.982,4.0,76.0
174458,88.0,2018,0.0319,0.556,0.671,11.0,0.000377,0.111,-6.366,0.0,0.0647,0.252,105.057,4.0,51.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
229525,17.0,1973,0.0263,0.621,0.8,4.0,1.51e-05,0.0591,-7.284,0.0,0.0344,0.968,149.91,4.0,73.0
94207,50.0,2021,0.167,0.661,0.819,11.0,0.0,0.0647,-6.269,0.0,0.0519,0.724,135.937,4.0,72.0
280069,10.0,2011,0.0234,0.786,0.696,9.0,0.0019,0.0839,-5.796,0.0,0.0428,0.306,121.974,4.0,72.0
178369,3.0,2019,0.331,0.777,0.744,9.0,0.0073,0.088,-7.42,1.0,0.204,0.654,94.019,4.0,69.0
194893,50.0,2020,0.00248,0.714,0.798,5.0,0.000678,0.103,-4.239,0.0,0.0612,0.659,119.017,4.0,63.0
46400,4.0,2020,0.0455,0.766,0.8,4.0,0.0,0.672,-7.676,1.0,0.321,0.806,111.126,4.0,55.0
95338,22.0,2017,0.0076,0.703,0.628,5.0,0.0,0.471,-6.349,0.0,0.0284,0.425,103.983,4.0,48.0
240165,11.0,2012,0.694,0.483,0.303,4.0,0.0,0.115,-10.058,1.0,0.0429,0.139,133.406,3.0,70.0
204093,39.0,2019,0.209,0.568,0.701,3.0,1.06e-06,0.0769,-4.566,0.0,0.0426,0.353,89.969,4.0,66.0
202746,39.0,2016,0.117,0.584,0.7,11.0,0.0,0.0939,-4.275,1.0,0.0456,0.438,124.944,4.0,78.0
203506,22.0,2017,0.186,0.598,0.504,9.0,0.000221,0.34,-9.874,1.0,0.0731,0.252,163.954,4.0,73.0
